id	title	description	status	created_at	updated_at	root_id	development_proposal_and_clarification	ball_park_estimate	impact_on_market	priority	argumentation_for_proposal	proposal_impact	next_steps	categories	planned_release_version
0	Updating VAT percentage in product information	Updating the VAT percentage should be possible without creating a new product. The tax rate history should be available based on change occurrences and visible on the UI.	NEW	2024-11-09T10:00:00	2024-11-09T10:00:00	1	Proposal to update VAT rate for product info change.	1-2 weeks	Minor impact on market.	High	Supports product data flexibility for new VAT requirements.	Low	Clarification requested from tax authorities.	Product information	1.9.0 p/2.5?
1	Notification of accounting point ID change	Changing DH-311-4, DH-331-3, DH-351-3 notifications to send related accounting point ID instead of the main accounting point ID.	CLARIFICATION	2024-11-09T10:15:00	2024-11-09T10:15:00	2	Proposal to clarify accounting point ID logic.	2 weeks	Moderate impact on supplier systems.	High	Improves clarity in accounting point communication.	Medium	Awaiting clarification from IT teams.	Agreement process	2.3
2	Contract retrospective cancellation notification	Validating that grid and sales agreements correspond for the same customer when confirming the grid contract.	NEW	2024-11-09T10:30:00	2024-11-09T10:30:00	1	Proposal for customer validation to align grid and sales agreements.	3 weeks	Significant impact on market operations.	High	Improves system consistency and reduces errors.	High	Developing technical specifications for implementation.	Sales agreement process	2.3
3	Customer information validation on grid contract	Validation to ensure that grid agreement corresponds to the sales contract customer.	READY	2024-11-09T10:45:00	2024-11-09T10:45:00	2	Update the DH-312-1 request to include customer info for validation.	1 week	Minor impact on grid companies.	Medium	Validates contract accuracy and reduces data inconsistencies.	Low	Preparing for rollout.	Grid contract process	2.4
4	PO Box and Street Address validation	Validation rule to ensure only one address type (PO Box or street) is given, and building number requires a street name.	REJECTED	2024-11-09T11:00:00	2024-11-09T11:00:00	1	Ensure only one address type is included and building numbers have street names.	2 weeks	Minimal impact on customer systems.	Medium	Addresses data quality issues.	High	Will revisit after further consultation.	Customer data process	2.4
5	Agreement end date notification	Allow a supplier or DSO to notify contract end dates when a new contract starts on the same day.	RECOMMENDATION	2024-11-09T11:15:00	2024-11-09T11:15:00	3	Ensure contract end notifications match contract terms for new agreements.	4 weeks	Moderate impact on market operations.	High	Supports contract management and reduces notification errors.	High	Awaiting approval from stakeholders.	Contract process	2.3
6	Fixed Term Agreement validation update	Modify validation rules to check fixed term dates only when updated.	RECOMMENDATION	2024-11-09T11:30:00	2024-11-09T11:30:00	1	Only apply fixed term date validation when changes are made to the dates.	3 weeks	Low impact on market.	Low	Improves flexibility in contract management.	Medium	Implementing specification changes.	Contract process	2.0
7	Disconnection notification chain	Implement message IDs to track connection and disconnection requests for better process management.	RECOMMENDATION	2024-11-09T11:45:00	2024-11-09T11:45:00	2	Implement a new field to track the source of disconnections (supplier or DSO).	5 weeks	High impact on grid operators.	High	Improves tracking and process reliability.	High	Clarifying technical feasibility with suppliers.	Disconnection process	2.4
8	Notification of Unconfirmed SAG End	Cancellation Notification for Unconfirmed Sales Agreement	CLARIFICATION	2023-08-01	2023-09-01	1	"DSO to receive info of SAG (sales agreement) end or cancellation:
In case DDQ ends or cancels a SAG before DSO has confirmed their GAG (grid agreement), DSO doesn't receive information about the SAG end or cancellation. It would be good to notify the DSO also when GAG is not yet confirmed.

Origin: Market Party wish list -selected in January 2022"	1	1	1	Verkko saisi tiedon jos myyjä heti peruu tai päättää sopimuksen.		Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.	Sopimusprosessi	2.1
9	Customer Data Character Verification	Validation to Prevent Invalid Characters in Customer Data	RECOMMENDATION	2023-09-15	2023-10-01	1	"Customer data characters to be verified:
With Customer data update there should be verified that there aren't useless characters with customer's name to be updated to Datahub. 
Eg. ""JÃ¤msÃ¤nkosken MetsÃ¤stysyhdistys ry. "" characters shouldn't be allowed

Origin: Market Party wish list -selected in January 2022"	1	1	2	Asiakastiedon laatu saadaan pidettyä parempana.	Asiakastiedon laatu saadaan pidettyä parempana.	Kehitystyöryhmässä todettiin, että on vaikea löytää merkistöä, joka sallisi tarvittavasti merkkejä ja estäisi vain todella turhat. Sovittiin, että selvitetään vielä väärien tietojen määriä ja sitä, onko kyse mahdollisesti ollut käyttöönoton ongelmasta vai tuleeko näitä edelleen ja kuinka monelta osapuolelta. 	Asiakastietoprosessi	
10	Invoice Email Validation	Restrict Email Updates Only When Invoicing Channel is Email	READY	2023-07-01	2023-08-15	1	"Email  invoice to be updateable only if the correct Invoice channel chosen:
Market party  has received updates to agreements with invoicing email address, although agreement invoice channel is not  email address."	1	1	1	Tietojen laadun ylläpito.	Tietojen laadun ylläpito.	Ei edistetä	Sopimusprosessi	
11	Data Privacy in Logging of Identifiers	Use POST Method to Prevent Logging Sensitive Data	REJECTED	2023-06-01	2023-06-30	1	"Data interface is using person id or company id for requests. Those URL requests are logged into log file and that shall not happen.

Example:
https://dh-fingrid-sat01-b2b.azurewebsites.net/rest/FGR/DIFGetCustomerData?organisationUser=B2BCGdso1AAdmin&TenantCode=FGR&customerIdentification=DDMMYY-1234

See https://stackoverflow.com/questions/39568719/rest-api-get-with-sensitive-data

This is a data privacy issues."	1	1	1	Parantaa tietoturvaa.	Järjestelmätoimittajat joutuvat toteuttamaan tuen uudelle rajapintakutsumetodille. Voidaan tarvittaessa rakentaa väliaikainen tuki molemmille metodeille ja esim. 6 kk jälkeen vanha metodi otetaan pois käytöstä.	Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.	Tietoturva	2.3
