id	title	description	status	created_at	updated_at	root_id	development_proposal_and_clarification	ball_park_estimate	impact_on_market	priority	argumentation_for_proposal	proposal_impact	next_steps	categories	planned_release_version
0	Mistä muutosehdotus on tullut.	in english	1				in english			x	Miksi muutos tarvitaan, mitkä ovat konkreettiset vaikutukset, mikäli muutos jätettäisiin tekemättä (kustannukset/ylimääräinen työ yms.).	Miten muutos vaikuttaa nykyisiin määrittelyihin. 	Miten asiaa edistetään, esim. riittääkö läpikäynti prosessityöryhmässä vai vaatiiko laajemman kyselyn toimialalta.		x
1	CSUSE0003407	"At the present metering data messages (E66) include only the metering point type (F01-accounting point, E18-production unit, E20-exchange point) but not the accounting point type (AG01-consumption, AG02-production). 
Is it possible to add also the accounting point type to the E66 messages as an optional additional info?"	6				"At the present metering data messages (E66) include only the metering point type (F01-accounting point, E18-production unit, E20-exchange point) but not the accounting point type (AG01-consumption, AG02-production). 
Is it possible to add also the accounting point type to the E66 messages as an optional additional info?"	2	2	2	Datahubin prosessit ovat synkronisia mutta valitettavan usein ATJ synkkaa struktuuridataa MDM:n suuntaan eräajoina esim. kerran tunnissa / päivässä. Erityisesti takautuvissa muutoissa Datahubilta saatetaan saada mittasudataa ennenkuin ATJ on perustanut käyttöpaikan MDM:lle, koska perustaminen tehdään vain kun sopimus aktivoituu. Erityisesti tässä tapauksessa olisi hyödyllistä jos E66 sanoman mukana tulisi käyttöpaikan alityyppi (Accounting point arvoilla AG01=Consumption AG02=Production). Se auttaisi myös validoimaan, onko ATJ toimittanut oikean käyttöpaikan tyypin.	Mittaustiedon välitys	Ei edistetä	Mittaustietoprosessi	
2	"CSUSE0026681
CHGUSE0000032147"	In the product information there is VAT percentage. Updating the VAT percentage should be possible without notifying a new product.	5				In the product information there is VAT percentage. Updating the VAT percentage should be possible without notifying a new product.	1	1	1	Suomen hallitus kaavailee muutosta veroasteeseen ja jotta ei jouduta luomaan uutta tuotetta datahubiin, pitäisi pystyä päivittämään veroastetietoa.		Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.	Tuoteprosessi	"1.9.0 p/
2.5?"
3	"CHGUSE0000032270

"	"In the sales agreement end and cancellation of sales agreement end events, a notification is sent to the supplier of the related accounting point (DH-331-3 and DH-351-3). Currently, the accounting point ID of the main accounting point in the event is sent, but datahub should send the ID of the related accounting point (i.e. the accounting point for which the receiving supplier has an agreement).

Note: Also DH-311 sends a notification (DH-311-4) to the supplier of the related accounting point with the main accounting point ID. "	4				"In the sales agreement end and cancellation of sales agreement end events, a notification is sent to the supplier of the related accounting point (DH-331-3 and DH-351-3). Currently, the accounting point ID of the main accounting point in the event is sent, but datahub should send the ID of the related accounting point (i.e. the accounting point for which the receiving supplier has an agreement).

Note: Also DH-311 sends a notification (DH-311-4) to the supplier of the related accounting point with the main accounting point ID. "	2	1	1	CMS järjestelmä toimii täysin epäloogisesti	Huom. Mikäli on tarve lähettää molempien käyttöpaikkojen tunnus, on muutos suurempi/muutoksella vaikutus sanomien rakenteeseen. 	Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.	Sopimusprosessi	2.3
4	"CHGUSE0000031374
"	"MP: Accounting Point Report to be with AP ID:
Accounting Point report doesn't have the Accounting Point IDs (but number of Accounting Points).   
In case  the PowerBI report wouldn't have that information, then the option could be to have it with control reports as search criteria"	6				"MP: Accounting Point Report to be with AP ID:
Accounting Point report doesn't have the Accounting Point IDs (but number of Accounting Points).   
In case  the PowerBI report wouldn't have that information, then the option could be to have it with control reports as search criteria"	1	0	2	Käytettävyysparannus		Todettiin, että ehdotus on nostettu ennen Datahubin käyttöönottoa, jolloin ei ollut tietoa kai-kista Datahubin tarjoamista raporteista. Nyt tiedot ovat saatavilla toiselta raportilta, joten kehitysehdotukselle ei enää ole tarvetta. 	Yleinen hallinta	
5	CSUSE0006004	It would be usefull to present the logged in person's organization in the datahub UI right in the front page, not after clickig the user information.	5				It would be usefull to present the logged in person's organization in the datahub UI right in the front page, not after clickig the user information.	1	0	2	"Osapuolet edustavat toisinaan useaa organisaatiota ja päivittäistä työtä helpottaakseen olisi hyvä jos tieto olisi heti näkyvillä

Käytettävyysparannus"			Yleinen hallinta	2.2
6	CSUSE0006012	"There is need in the follow-up form for messages to be able to pick-up the GSRN id. Or in worse alternative GSRN id could be shown in message follow-up list.

It would be usefull if in the grid's accounting point data there were possibility to retrieve the messages of the accounting point with limited moment of time seach criteria "	4				"There is need in the follow-up form for messages to be able to pick-up the GSRN id. Or in worse alternative GSRN id could be shown in message follow-up list.

It would be usefull if in the grid's accounting point data there were possibility to retrieve the messages of the accounting point with limited moment of time seach criteria "	2	0	2	Sanomien seuranta helpottuisi, kun voidaan hakea GSRN-tunnuksella sanomien joukosta			Sanomahallinta	2.4?
7	CSUSE0006026	"With the 'Search Business Messages' it is possible to follow the number of messages and what kind of messages has been sent and received. There is no functionality to calculate per message type the nuber of messages. The functionality to export the messages to a csv file is not available. When looking the screen carefully the option to export the list of business messages to a csv file is there, but it is difficult to find.

When the 'Search Results' is panned to the right, to the right appears a pale line. When this line is successfully clicked, a menu with option to export the search results to a csv file appears. The csv file can be used for analysis.
The button to open the menu should be made better visible as this is a functionality that is needed by market parties."	5				"With the 'Search Business Messages' it is possible to follow the number of messages and what kind of messages has been sent and received. There is no functionality to calculate per message type the nuber of messages. The functionality to export the messages to a csv file is not available. When looking the screen carefully the option to export the list of business messages to a csv file is there, but it is difficult to find.

When the 'Search Results' is panned to the right, to the right appears a pale line. When this line is successfully clicked, a menu with option to export the search results to a csv file appears. The csv file can be used for analysis.
The button to open the menu should be made better visible as this is a functionality that is needed by market parties."			2	"Kyseisen painikkeen löytäminen on hankalaa. Muuttamalla painikkeen tyylitystä saataisiin painike näkyvämmäksi ja helpommin löydettäväksi.

Kyseisen painikkeen tyylityksen muokkaus ei ole isompi muutos."			Sanomahallinta	1.8.1.1
8	"CSUSE0006033
CSUSE0014749
"	"Development ideas to the 'List Open Transactions' page:
1. Create time stamp could present also time besides the date. Sorting of open events in time order.

2. It should be possible to maximize the whole view full screen size. More events at one screen.

3. The number of events presented.

4. The selected row could be visualized with different colour than grey. That would help the see where the selection is at the moment. It is difficult to see differences in the hues of grey."	5				"Development ideas to the 'List Open Transactions' page:
1. Create time stamp could present also time besides the date. Sorting of open events in time order.

2. It should be possible to maximize the whole view full screen size. More events at one screen.

3. The number of events presented.

4. The selected row could be visualized with different colour than grey. That would help the see where the selection is at the moment. It is difficult to see differences in the hues of grey."	1	0	2	Kyseiset muutokset parantaisivat 'List Open Transactions'-sivun käytettävyyttä			Sanomahallinta	2.2
9	Tiketti CSUSE0006062	Switching state for metering point shall be updated real time into CMS. Switch time is given in one hour accuracy, thus if today comes new switch notification for today, the state shall be updated right away into CMS.	3				Switching state for metering point shall be updated real time into CMS. Switch time is given in one hour accuracy, thus if today comes new switch notification for today, the state shall be updated right away into CMS.	1	0	2	Käytettävyysparannus kaikille vastaaville näytöille. 			Kytkentä/katkaisuprosessi	
